year,region,value_salary
2020,Адыгея,30843.219834710733
2020,Алтай,32540.145041322325
2020,Алтайский,28843.202066115704
2020,Амурская,46970.535950413214
2020,Архангельская,48598.43760330579
2020,Астраханская,38702.789256198346
2020,Башкортостан,38010.01363636364
2020,Белгородская,36734.54793388431
2020,Брянская,30871.068595041335
2020,Бурятия,40353.4549586777
2020,Владимирская,32012.95743801654
2020,Волгоградская,34657.916942148746
2020,Вологодская,40995.17066115704
2020,Воронежская,36088.6347107438
2020,Дагестан,27229.599173553706
2020,Дальневосточный федеральный округ,56199.59798387094
2020,Еврейская,41332.31570247936
2020,Забайкальский,47108.272314049595
2020,Ивановская,27517.767355371903
2020,Ингушетия,24701.392148760326
2020,Иркутская,47668.973966942125
2020,Кабардино-Балкарская,26938.063636363655
2020,Калининградская,38423.997619047645
2020,Калмыкия,28916.9888429752
2020,Калужская,38778.39752066118
2020,Камчатский,77291.23636363633
2020,Карачаево-Черкесская,27077.480991735534
2020,Карелия,44081.90619834709
2020,Кемеровская Область-Кузбасс,39449.33595041322
2020,Кировская,31600.012396694212
2020,Коми,52547.05123966938
2020,Костромская,31272.290082644642
2020,Краснодарский,38394.5847107438
2020,Красноярский,51658.37520661157
2020,Крым,35111.6115702479
2020,Курганская,31012.481818181834
2020,Курская,35254.27438016527
2020,Ленинградская,45886.800826446226
2020,Липецкая,34054.27314049586
2020,Магаданская,89638.10289256199
2020,Марий Эл,30498.06446280994
2020,Мордовия,29323.26652892563
2020,Москва,102250.24166666665
2020,Московская,55241.26570247935
2020,Мурманская,65964.70000000001
2020,Ненецкий,84502.4737603307
2020,Нижегородская,35091.97272727273
2020,Новгородская,29395.414462809917
2020,Новосибирская,40871.83347107438
2020,Омская,36220.33099173553
2020,Оренбургская,33658.88760330578
2020,Орловская,30184.28305785125
2020,Пензенская,31536.549999999985
2020,Пермский,38840.060743801674
2020,Приволжский федеральный округ,36607.40952380952
2020,Приморский,47860.68024193549
2020,Псковская,30402.132644628105
2020,Российская Федерация,55325.44484126981
2020,Ростовская,35302.01322314051
2020,Рязанская,34555.48057851238
2020,Самарская,37658.14504132229
2020,Санкт-Петербург,74324.52619047617
2020,Саратовская,32611.487190082666
2020,Саха /Якутия/,74530.38285123963
2020,Свердловская,42302.46322314054
2020,Севастополь,35549.499586776874
2020,Северная Осетия - Алания,26009.774793388435
2020,Северо-Западный федеральный округ,59157.22579365081
2020,Северо-Кавказский федеральный округ,29899.463636363627
2020,Сибирский федеральный округ,42680.65950413224
2020,Смоленская,31838.962396694224
2020,Ставропольский,33444.70743801652
2020,Тамбовская,29571.34338842975
2020,Татарстан,39729.361507936526
2020,Тверская,33285.147933884306
2020,Томская,45557.34669421487
2020,Тульская,38136.065289256214
2020,Тыва,39336.53801652892
2020,Тюменская,49945.69710743801
2020,Удмуртская,35227.12355371901
2020,Ульяновская,31370.659504132225
2020,Уральский федеральный округ,51392.27190082648
2020,Хабаровский,51217.45371900824
2020,Хакасия,38995.38181818183
2020,Ханты-Мансийский Автономный Округ - Югра,67587.29586776857
2020,Центральный федеральный округ,68866.07301587299
2020,Челябинская,36709.86570247933
2020,Чеченская,26575.071074380157
2020,Чувашская,30411.626446281
2020,Чукотский,101058.30950413222
2020,Южный федеральный округ,36694.70454545453
2020,Ярославская,35939.98966942148
2021,Адыгея,34876.27208333334
2021,Алтай,35536.01166666667
2021,Алтайский,32363.641249999975
2021,Амурская,53778.368333333325
2021,Архангельская,54315.8125
2021,Астраханская,42099.38666666668
2021,Башкортостан,41092.55916666669
2021,Белгородская,40588.157083333346
2021,Брянская,34442.72166666666
2021,Бурятия,43233.838333333355
2021,Владимирская,35227.150833333326
2021,Волгоградская,37067.712916666664
2021,Вологодская,44905.64750000001
2021,Воронежская,40527.41208333332
2021,Дагестан,30197.521666666642
2021,Дальневосточный федеральный округ,62871.94484126983
2021,Еврейская,45736.90333333333
2021,Забайкальский,45330.504166666666
2021,Ивановская,32048.860000000008
2021,Ингушетия,27340.176250000022
2021,Иркутская,52734.25416666666
2021,Кабардино-Балкарская,29494.784583333356
2021,Калининградская,42636.730952380974
2021,Калмыкия,31373.820416666666
2021,Калужская,42984.95083333331
2021,Камчатский,86423.09666666671
2021,Карачаево-Черкесская,30237.363333333316
2021,Карелия,47413.841250000005
2021,Кемеровская Область-Кузбасс,44587.093749999985
2021,Кировская,34583.304999999986
2021,Коми,55816.342916666654
2021,Костромская,34532.54708333336
2021,Краснодарский,42270.05458333333
2021,Красноярский,58148.80458333334
2021,Крым,40375.659583333305
2021,Курганская,33879.24541666668
2021,Курская,39613.68250000001
2021,Ленинградская,50456.378333333334
2021,Липецкая,37221.209583333344
2021,Магаданская,96447.50999999995
2021,Марий Эл,33960.92374999999
2021,Мордовия,33093.42499999998
2021,Москва,114308.13690476192
2021,Московская,62522.82791666662
2021,Мурманская,73511.70208333334
2021,Ненецкий,90398.26749999997
2021,Нижегородская,39217.47583333334
2021,Новгородская,36156.47374999998
2021,Новосибирская,46357.607500000035
2021,Омская,40151.53416666666
2021,Оренбургская,36987.21791666667
2021,Орловская,33584.50791666666
2021,Пензенская,35146.340833333314
2021,Пермский,43471.551250000004
2021,Приволжский федеральный округ,40077.134523809524
2021,Приморский,54081.85952380955
2021,Псковская,33940.477499999986
2021,Российская Федерация,61291.94166666667
2021,Ростовская,39439.88583333335
2021,Рязанская,38849.28624999998
2021,Самарская,42203.38208333331
2021,Санкт-Петербург,81532.4103174604
2021,Саратовская,36851.57833333335
2021,Саха /Якутия/,81099.94989604989
2021,Свердловская,48111.63958333335
2021,Севастополь,39823.12333333332
2021,Северная Осетия - Алания,28656.087083333325
2021,Северо-Западный федеральный округ,65042.14444444444
2021,Северо-Кавказский федеральный округ,33083.26791666668
2021,Сибирский федеральный округ,47916.20958333334
2021,Смоленская,35248.51666666668
2021,Ставропольский,37382.38249999999
2021,Тамбовская,32639.34583333333
2021,Татарстан,44707.07698412701
2021,Тверская,38599.018749999974
2021,Томская,49319.372500000005
2021,Тульская,42626.70541666665
2021,Тыва,42995.977083333324
2021,Тюменская,55731.12291666666
2021,Удмуртская,38137.9875
2021,Ульяновская,34901.15958333334
2021,Уральский федеральный округ,57089.100000000064
2021,Хабаровский,59490.0125
2021,Хакасия,43057.77791666665
2021,Ханты-Мансийский Автономный Округ - Югра,73776.60458333333
2021,Центральный федеральный округ,77171.82222222218
2021,Челябинская,41999.15374999998
2021,Чеченская,28528.6425
2021,Чувашская,34535.360416666656
2021,Чукотский,112441.82208333335
2021,Южный федеральный округ,40618.00708333332
2021,Ярославская,40159.240000000005
2022,Адыгея,37525.80999999999
2022,Алтай,38260.297
2022,Алтайский,34500.59
2022,Амурская,56424.934000000016
2022,Архангельская,57226.312999999995
2022,Астраханская,44289.03599999999
2022,Башкортостан,44299.085
2022,Белгородская,44296.052
2022,Брянская,38201.99500000001
2022,Бурятия,47418.98799999999
2022,Владимирская,39431.96499999998
2022,Волгоградская,38412.83200000001
2022,Вологодская,51729.66100000002
2022,Воронежская,43010.365
2022,Дагестан,30595.372999999985
2022,Дальневосточный федеральный округ,68985.68846153848
2022,Еврейская,46732.91100000002
2022,Забайкальский,49786.83899999999
2022,Ивановская,34097.56100000001
2022,Ингушетия,29330.51
2022,Иркутская,57706.95599999998
2022,Кабардино-Балкарская,31679.60700000001
2022,Калининградская,45710.293203883506
2022,Калмыкия,32254.879
2022,Калужская,45001.13699999998
2022,Камчатский,92759.94699999999
2022,Карачаево-Черкесская,32492.00999999999
2022,Карелия,50823.169000000016
2022,Кемеровская Область-Кузбасс,48359.151999999995
2022,Кировская,36845.68700000001
2022,Коми,60523.64999999998
2022,Костромская,37569.64599999999
2022,Краснодарский,47315.65999999999
2022,Красноярский,64762.315999999984
2022,Крым,41004.30199999998
2022,Курганская,35977.05600000001
2022,Курская,41763.251000000004
2022,Ленинградская,52297.501
2022,Липецкая,40867.363
2022,Магаданская,100055.06
2022,Марий Эл,35896.081999999995
2022,Мордовия,35714.960999999996
2022,Москва,116747.93619047622
2022,Московская,65611.22499999998
2022,Мурманская,80549.04600000003
2022,Ненецкий,99098.08650000003
2022,Нижегородская,41339.770000000004
2022,Новгородская,40379.589999999975
2022,Новосибирская,48740.490999999995
2022,Омская,43020.774999999994
2022,Оренбургская,38691.49100000001
2022,Орловская,36113.780999999995
2022,Пензенская,37595.522
2022,Пермский,46597.681
2022,Приволжский федеральный округ,42764.08932038834
2022,Приморский,59474.959615384614
2022,Псковская,35708.19000000001
2022,Российская Федерация,65533.91904761907
2022,Ростовская,41851.823000000004
2022,Рязанская,41096.34199999999
2022,Самарская,44395.54099999999
2022,Санкт-Петербург,84918.27999999996
2022,Саратовская,40282.29000000001
2022,Саха /Якутия/,86781.83150000003
2022,Свердловская,51368.706
2022,Севастополь,41766.83900000001
2022,Северная Осетия - Алания,30943.31300000001
2022,Северо-Западный федеральный округ,70566.89904761907
2022,Северо-Кавказский федеральный округ,33594.873
2022,Сибирский федеральный округ,52019.456
2022,Смоленская,37289.21399999999
2022,Ставропольский,36736.892
2022,Тамбовская,33474.88300000001
2022,Татарстан,47917.39514563107
2022,Тверская,41354.55300000001
2022,Томская,52909.49800000001
2022,Тульская,45450.580000000016
2022,Тыва,44400.70100000001
2022,Тюменская,56958.356
2022,Удмуртская,42200.364
2022,Ульяновская,37717.412999999986
2022,Уральский федеральный округ,61312.485
2022,Хабаровский,61059.476000000024
2022,Хакасия,46117.938999999984
2022,Ханты-Мансийский Автономный Округ - Югра,78880.78200000005
2022,Центральный федеральный округ,81172.3657142857
2022,Челябинская,46440.14099999999
2022,Чеченская,30598.640000000003
2022,Чувашская,37025.74
2022,Чукотский,115909.006
2022,Южный федеральный округ,43613.90099999998
2022,Ярославская,42415.715
